code,name_cn,name_en,aliases,relation_types,accrual_partner,has_partner_rule,has_codeshare_784_rule,ffp_status,current_accrual_eligible,risk_level,status_note_cn,notes_cn,source,source_registry,source_refs,source_url_reference,ai_assisted_notice
FM,上海航空,Shanghai Airlines,上航/Shanghai Airlines,manual_input_suggestion/mu_group,False,False,,legacy_skyteam_verify_required,False,verify_required,上海航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,东航集团相关航司，作为手动输入候选；是否可累积需逐票核验。,manual_directory,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
GJ,长龙航空,Loong Air,长龙/Loong Air/长龙航空,manual_input_suggestion/cross_airline_irregularity_candidate/codeshare_elite_benefit_reference,False,False,False,codeshare_or_elite_only_unknown_ffp,False,medium,长龙航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,用于国内跨航司/自愿签转等手工场景候选；不按南航合作伙伴自动累积。；合作航司权益参考页面中出现；仅作为航司代码提示/候选，是否可累积及具体累积率需逐票核对或补充规则库。,manual_directory,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
HO,吉祥航空,Juneyao Air,吉祥/Juneyao,manual_input_suggestion/cross_airline_irregularity_candidate/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,False,False,True,codeshare_or_elite_only_unknown_ffp,False,medium,吉祥航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,用于国内跨航司/自愿签转等手工场景候选；不按南航合作伙伴自动累积。；合作航司权益参考页面中出现；784票号、CZ代码、HO实际承运可按非南航承运规则估算里程，航段按南航票面舱位；当前已录入 U=25% 匿名化实测样本。,manual_directory,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
HU,海南航空,Hainan Airlines,海航/Hainan Airlines,manual_input_suggestion/cross_airline_irregularity_candidate,False,False,,codeshare_or_elite_only_unknown_ffp,False,medium,海南航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,用于国内跨航司/自愿签转等手工场景候选；不按南航合作伙伴自动累积。,manual_directory,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
IB,西班牙国家航空 / 伊比利亚航空,Iberia,伊比利亚航空/Iberia,codeshare_agreement_public/manual_input_suggestion,False,False,,unknown_unverified,False,medium,未在合作状态库中确认；仅作为手动输入候选。,2025 年南航集团新闻提到南航与西班牙国家航空签署代码共享协议；未作为南航明珠合作伙伴累积表自动计算。,csairgroup_iberia_codeshare_news,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KC,阿斯塔纳航空,Air Astana,阿斯塔纳航/Air Astana,codeshare_agreement_public/manual_input_suggestion,False,False,,unknown_unverified,False,medium,未在合作状态库中确认；仅作为手动输入候选。,公开报道提到南航与阿斯塔纳航空开展中哈航线代码共享合作；未作为南航明珠合作伙伴累积表自动计算。,mofcom_air_astana_codeshare_news,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KE,大韩航空,Korean Air,大韩/Korean Air,sky_pearl_partner/partner_accrual/codeshare_scope_possible/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,True,True,,active_ffp_partner,True,low,大韩航空为工作库标记为可累积参考合作伙伴；工作表显示2026-04-01起。,参考来源曾列入南航明珠合作伙伴表；具体舱位与旅行日期以最新表为准。；合作航司权益参考页面中出现；若为 784 票号 CZ/OQ 代码但非 CZ/OQ 实际承运，建议使用“784代码共享/非南航承运”模式或手动核对。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KL,荷兰皇家航空,KLM Royal Dutch Airlines,荷航/KLM,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,False,,legacy_skyteam_verify_required,False,verify_required,荷兰皇家航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,参考来源曾列入南航明珠英文合作伙伴表；v7 仅作为航司候选，尚未录入详细累积表。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
ME,中东航空,Middle East Airlines,MEA/Middle East Airlines,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,False,,legacy_skyteam_verify_required,False,verify_required,中东航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,参考来源曾列入南航明珠英文合作伙伴表；v7 仅作为航司候选，尚未录入详细累积表。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,厦航/Xiamen Airlines,sky_pearl_partner/partner_accrual/codeshare_scope_possible/greater_china_cooperation/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,True,True,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,参考来源曾列入南航明珠合作伙伴表；也是大中华携手飞相关航司之一。；合作航司权益参考页面中出现；若为 784 票号 CZ/OQ 代码但非 CZ/OQ 实际承运，建议使用“784代码共享/非南航承运”模式或手动核对。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MU,中国东方航空,China Eastern Airlines,东航/China Eastern,codeshare_candidate/greater_china_cooperation/manual_input_suggestion/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,False,False,,legacy_skyteam_verify_required,False,verify_required,中国东方航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,公开公告显示东航会员乘坐东航销售南航承运代码共享航班有积分/权益规则；本工具仅作为承运人候选，不自动按南航合作伙伴表累积。；合作航司权益参考页面中出现；若为 784 票号 CZ/OQ 代码但非 CZ/OQ 实际承运，建议使用“784代码共享/非南航承运”模式或手动核对。,china_eastern_codeshare_notice,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
SU,俄罗斯航空,Aeroflot,俄航/Aeroflot/Russian Airlines,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,False,,legacy_skyteam_verify_required,False,verify_required,俄罗斯航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,参考来源曾列入南航明珠英文合作伙伴表；v7 仅作为航司候选，尚未录入详细累积表。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
SV,沙特阿拉伯航空,Saudia,沙特航空/Saudi Arabian Airlines/Saudia/沙特阿拉伯航空,sky_pearl_partner/partner_accrual/codeshare_scope_possible/codeshare_elite_benefit_reference/manual_input_suggestion,True,False,False,legacy_skyteam_verify_required,False,verify_required,沙特航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,参考来源曾列入南航明珠英文合作伙伴表；v7 仅作为航司候选，尚未录入详细累积表。；合作航司权益参考页面中出现；仅作为航司代码提示/候选，是否可累积及具体累积率需逐票核对或补充规则库。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
UX,欧罗巴航空,Air Europa,Air Europa,sky_pearl_partner/partner_accrual/codeshare_scope_possible,True,False,,legacy_skyteam_verify_required,False,verify_required,欧罗巴航空属于历史天合/历史合作语境中可能出现的航司；2025-2026工作库中默认不作为当前南航明珠可累积合作伙伴。代码共享情况需另行核对。,参考来源曾列入南航明珠英文合作伙伴表；v7 仅作为航司候选，尚未录入详细累积表。；当前工作库将其标记为非当前参考可累积/需核对，默认不建议自动计入。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
VN,越南航空,Vietnam Airlines,越航/Vietnam,sky_pearl_partner/partner_accrual/codeshare_scope_possible/codeshare_elite_benefit_reference/cz_784_non_cz_operated_candidate,True,True,,active_ffp_partner,True,low,越南航空为工作库标记为可累积参考合作伙伴。,参考来源曾列入南航明珠合作伙伴表；以 VN/VN 等合格航班及表内舱位为准。；合作航司权益参考页面中出现；若为 784 票号 CZ/OQ 代码但非 CZ/OQ 实际承运，建议使用“784代码共享/非南航承运”模式或手动核对。,skypearl_partner_airlines,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
ZH,深圳航空,Shenzhen Airlines,深航/Shenzhen Airlines,manual_input_suggestion/cross_airline_irregularity_candidate,False,False,,codeshare_or_elite_only_unknown_ffp,False,medium,深圳航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,用于国内跨航司/自愿签转等手工场景候选；不按南航合作伙伴自动累积。,manual_directory,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
NS,河北航空,Hebei Airlines,河北航空/Hebei Airlines,codeshare_elite_benefit_reference/manual_input_suggestion,False,False,False,codeshare_or_elite_only_unknown_ffp,False,medium,河北航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,合作航司权益参考页面中出现；仅作为航司代码提示/候选，是否可累积及具体累积率需逐票核对或补充规则库。,public_elite_benefit_reference,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
QW,青岛航空,Qingdao Airlines,青岛航空/Qingdao Airlines,codeshare_elite_benefit_reference/manual_input_suggestion,False,False,False,codeshare_or_elite_only_unknown_ffp,False,medium,青岛航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,合作航司权益参考页面中出现；仅作为航司代码提示/候选，是否可累积及具体累积率需逐票核对或补充规则库。,public_elite_benefit_reference,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KN,中国联合航空,China United Airlines,中国联合航空/China United Airlines,codeshare_elite_benefit_reference/manual_input_suggestion,False,False,False,codeshare_or_elite_only_unknown_ffp,False,medium,中国联合航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,合作航司权益参考页面中出现；仅作为航司代码提示/候选，是否可累积及具体累积率需逐票核对或补充规则库。,public_elite_benefit_reference,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
JL,日本航空,Japan Airlines,日本航空/Japan Airlines,codeshare_elite_benefit_reference/manual_input_suggestion,False,False,False,codeshare_or_elite_only_unknown_ffp,False,medium,日本航空作为代码共享/精英权益/输入提示候选保留；不代表当前参考可累积南航定级里程或航段。,合作航司权益参考页面中出现；仅作为航司代码提示/候选，是否可累积及具体累积率需逐票核对或补充规则库。,public_elite_benefit_reference,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation ; https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/member/hyqy/hzhs,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
