carrier_code,name_cn,name_en,valid_from,valid_to,service_class,service_class_cn,service_class_en,service_class_display,cabins,mileage_rate,segment_credit,validity_cn,notes_cn,ffp_status,current_accrual_eligible,risk_level,status_note_cn,source_registry,source_refs,source_url_reference,ai_assisted_notice
KE,大韩航空,Korean Air,2026-04-01,,business,公务舱,Business Class,公务舱 / Business Class,Z,1.0,1,旅行日期 2026年4月1日(含)起,,active_ffp_partner,True,low,大韩航空为工作库标记为可累积参考合作伙伴；工作表显示2026-04-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KE,大韩航空,Korean Air,2026-04-01,,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,V,1.1,1,旅行日期 2026年4月1日(含)起,,active_ffp_partner,True,low,大韩航空为工作库标记为可累积参考合作伙伴；工作表显示2026-04-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KE,大韩航空,Korean Air,2026-04-01,,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,W/P,1.0,1,旅行日期 2026年4月1日(含)起,,active_ffp_partner,True,low,大韩航空为工作库标记为可累积参考合作伙伴；工作表显示2026-04-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
KE,大韩航空,Korean Air,2026-04-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,Y/B/M/S,1.0,1,旅行日期 2026年4月1日(含)起,,active_ffp_partner,True,low,大韩航空为工作库标记为可累积参考合作伙伴；工作表显示2026-04-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,first,头等舱,First Class,头等舱 / First Class,F,3.0,2,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,first,头等舱,First Class,头等舱 / First Class,A,1.5,2,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,business,公务舱,Business Class,公务舱 / Business Class,J,2.0,1,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,business,公务舱,Business Class,公务舱 / Business Class,C/D,1.3,1,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,business,公务舱,Business Class,公务舱 / Business Class,I,1.0,1,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,Y/H/B,1.0,1,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,M/L,0.75,0,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,K/N/Q/V/P,0.4,0,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
MF,厦门航空,XiamenAir,2025-01-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,T/R,0.1,0,旅行日期 2025年1月1日(含)起,,active_ffp_partner,True,low,厦门航空为工作库标记为可累积参考合作伙伴；工作表显示2025-01-01起。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,business,公务舱,Business Class,公务舱 / Business Class,J,1.3,2,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,business,公务舱,Business Class,公务舱 / Business Class,C,1.25,2,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,business,公务舱,Business Class,公务舱 / Business Class,D,1.0,1,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,W/U,1.15,1,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,A/E,1.0,1,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,economy,经济舱,Economy Class,经济舱 / Economy Class,Y,1.0,1,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,economy,经济舱,Economy Class,经济舱 / Economy Class,B/M/K/T,0.8,0,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
CI,中华航空 / 华信航空,China Airlines / Mandarin Airlines,,2025-12-31,economy,经济舱,Economy Class,经济舱 / Economy Class,R/Q/H/N,0.4,0,旅行日期至2025年12月31日止(含),,adjusted_or_expired,False,high,中华航空合作规则在工作库中保留历史/过渡表，但有效期显示至2025-12-31；2026以后默认不自动计入，请按最新公告核对。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,2019-03-20,,first,头等舱,First Class,头等舱 / First Class,F/A,1.5,1,旅行日期 2019年3月20日(含)起,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,2019-03-20,,business,公务舱,Business Class,公务舱 / Business Class,J/D/R/I,1.5,1,旅行日期 2019年3月20日(含)起,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,2019-03-20,,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,W,1.1,1,旅行日期 2019年3月20日(含)起,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,2019-03-20,,premium_economy,超级经济舱,Premium Economy,超级经济舱 / Premium Economy,P,1.0,1,旅行日期 2019年3月20日(含)起,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,2019-03-20,,economy,经济舱,Economy Class,经济舱 / Economy Class,Y/H/K/M,1.0,1,旅行日期 2019年3月20日(含)起,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,2019-03-20,,economy,经济舱,Economy Class,经济舱 / Economy Class,V/G,0.5,0,旅行日期 2019年3月20日(含)起,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
AA,美国航空,American Airlines,2019-03-20,,economy,经济舱,Economy Class,经济舱 / Economy Class,N/S/Q/O,0.25,0,旅行日期 2019年3月20日(含)起,,active_ffp_partner,True,low,美航为工作库标记为可累积参考合作伙伴，F/A 舱定级航段按 2 段处理。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
3U,四川航空,Sichuan Airlines,2024-08-01,,business,公务舱,Business Class,公务舱 / Business Class,C,1.5,0,旅行日期 2024年8月1日(含)以后,来源备注：四川航空仅能累积国内航班（不含港澳台地区航班）。,active_ffp_partner,True,medium,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
3U,四川航空,Sichuan Airlines,2024-08-01,,business,公务舱,Business Class,公务舱 / Business Class,I,1.3,0,旅行日期 2024年8月1日(含)以后,来源备注：四川航空仅能累积国内航班（不含港澳台地区航班）。,active_ffp_partner,True,medium,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
3U,四川航空,Sichuan Airlines,2024-08-01,,business,公务舱,Business Class,公务舱 / Business Class,J,1.0,0,旅行日期 2024年8月1日(含)以后,来源备注：四川航空仅能累积国内航班（不含港澳台地区航班）。,active_ffp_partner,True,medium,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
3U,四川航空,Sichuan Airlines,2024-08-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,A/P/Y/T,1.0,0,旅行日期 2024年8月1日(含)以后,来源备注：四川航空仅能累积国内航班（不含港澳台地区航班）。,active_ffp_partner,True,medium,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
3U,四川航空,Sichuan Airlines,2024-08-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,H,0.9,0,旅行日期 2024年8月1日(含)以后,来源备注：四川航空仅能累积国内航班（不含港澳台地区航班）。,active_ffp_partner,True,medium,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
3U,四川航空,Sichuan Airlines,2024-08-01,,economy,经济舱,Economy Class,经济舱 / Economy Class,G/L/E,0.4,0,旅行日期 2024年8月1日(含)以后,来源备注：四川航空仅能累积国内航班（不含港澳台地区航班）。,active_ffp_partner,True,medium,四川航空为工作库标记为可累积参考合作伙伴；需注意：四川航空仅能累积国内航班（不含港澳台地区航班）。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
EU,成都航空,Chengdu Airlines,2024-06-28,,economy,经济舱,Economy Class,经济舱 / Economy Class,Y,1.25,0,旅行日期在2024年6月28日(含)以后,,active_ffp_partner,True,medium,成都航空为工作库标记为可累积参考合作伙伴，需按最新表核对舱位。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
EU,成都航空,Chengdu Airlines,2024-06-28,,economy,经济舱,Economy Class,经济舱 / Economy Class,T/H,1.0,0,旅行日期在2024年6月28日(含)以后,,active_ffp_partner,True,medium,成都航空为工作库标记为可累积参考合作伙伴，需按最新表核对舱位。,data/data_sources_2026.json,SRC-002 / SRC-003,https://www.csair.com/mcms/mcmsNewSite/mows/cn/#/skypearl/earning/fly_/fly_operation,部分代码/文档/数据整理流程使用AI辅助生成或修改；数据需人工核验。
